model,cv_auc,accuracy,precision,recall,f1,roc_auc
XGBoost,0.8781333886597047,0.8321678321678322,0.86,0.8958333333333334,0.8775510204081632,0.9106826241134751
Random Forest,0.8853047142520827,0.8671328671328671,0.8811881188118812,0.9270833333333334,0.9035532994923858,0.904366134751773
Logistic Regression,0.8928915560494508,0.7972027972027972,0.8681318681318682,0.8229166666666666,0.8449197860962567,0.8885195035460993
SVM,0.8858130016024752,0.8531468531468531,0.8640776699029126,0.9270833333333334,0.8944723618090452,0.8827570921985816
MLP (Deep Learning),0.8880583617425722,0.6993006993006993,0.6906474820143885,1.0,0.8170212765957446,0.743572695035461
